Date,Location,District,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,AQI,AQI_Category
2022-01-04,Bhalibol Kateni,Dhenkanal,19.9,30.0,7.1,5.8,0.2,12.8,18.0,43.8,33,Good
2022-01-04,Chancher,Kalahandi,6.89,14.950000000000001,17.03,3.6399999999999997,0.7020000000000001,14.43,24.2,41.4,20,Good
2022-01-04,Digambarpur,Dhenkanal,9.6,25.0,11.0,11.1,0.28,32.0,16.0,42.7,32,Good
2022-01-04,Kanakpur,Kalahandi,23.27,38.74,5.2,5.8500000000000005,0.26,6.5,19.9,45.0,46,Good
2022-01-04,Kandabindha,Dhenkanal,16.5,27.6,2.0,2.8,0.36,9.7,16.9,53.2,28,Good
2022-01-04,Kankeri,Kalahandi,10.66,13.65,31.980000000000004,4.680000000000001,0.26,6.5,24.5,62.3,31,Good
2022-01-04,Kumusi,Dhenkanal,20.9,50.2,9.3,1.0,0.2,5.9,19.7,47.2,60,Satisfactory
2022-01-04,Kumusi,Dhenkanal,5.0,10.0,13.0,1.0,1.08,13.2,16.5,53.4,16,Good
2022-01-04,Lodhani,Dhenkanal,8.0,17.5,17.7,4.4,0.41,5.0,23.5,53.9,22,Good
2022-01-04,Maruabili,Dhenkanal,20.8,52.6,11.7,5.2,1.32,12.1,23.4,51.4,63,Satisfactory
2022-01-04,Parla,Kalahandi,26.650000000000002,37.57,2.6,7.279999999999999,1.7160000000000002,38.22,19.4,62.4,45,Good
2022-01-04,Risida (Karlamunda),Kalahandi,32.63,21.840000000000003,11.83,10.66,0.9229999999999999,11.440000000000001,20.4,47.3,48,Good
2022-01-04,Saranga,Dhenkanal,21.3,44.1,20.0,4.0,0.67,11.9,15.1,50.6,44,Good
2022-01-04,Surapratapapur,Dhenkanal,25.7,90.6,15.0,4.7,0.2,16.8,17.9,54.2,91,Satisfactory
2022-01-05,Bhapur,Dhenkanal,13.8,23.4,4.0,2.3,0.2,16.4,23.0,58.2,23,Good
2022-01-05,Ghagaramunda,Dhenkanal,11.1,16.1,27.9,1.0,0.57,25.8,19.1,62.4,35,Good
2022-01-05,Gogula,Kalahandi,12.35,19.11,12.48,12.22,1.1440000000000001,23.919999999999998,15.4,41.1,22,Good
2022-01-05,Gudialipadar,Kalahandi,23.14,65.78,9.23,2.08,0.26,6.5,24.5,57.4,78,Satisfactory
2022-01-05,Kuninda,Dhenkanal,15.0,20.6,6.5,14.3,0.51,12.2,25.0,55.5,26,Good
2022-01-05,Patharakhamba,Dhenkanal,23.8,26.5,23.7,3.8,0.77,22.9,20.8,54.1,40,Good
2022-01-05,Uditnarayanpur,Kalahandi,23.14,39.13,14.950000000000001,1.8199999999999998,0.26,6.5,16.4,64.4,46,Good
2022-01-06,Adri,Kalahandi,6.5,20.930000000000003,2.6,3.12,0.26,8.19,17.6,48.8,25,Good
2022-01-06,Bhimkela,Kalahandi,34.190000000000005,42.25,12.740000000000002,1.4300000000000002,1.248,24.44,20.8,48.1,51,Satisfactory
2022-01-06,Binjharpur,Jajpur,66.72000000000001,115.36,24.64,2.08,1.36,11.68,24.3,44.2,138,Moderate
2022-01-06,Gengutia,Dhenkanal,20.9,41.6,9.4,1.0,0.2,7.7,22.0,50.0,42,Good
2022-01-06,Gundurapasi,Dhenkanal,5.0,10.0,10.7,9.6,0.2,10.6,24.8,57.7,13,Good
2022-01-06,Kaigam,Kalahandi,12.35,24.31,4.9399999999999995,4.29,0.26,52.910000000000004,15.5,57.9,42,Good
2022-01-06,Kankeri,Kalahandi,23.66,43.160000000000004,2.6,10.790000000000001,0.29900000000000004,7.93,22.5,48.1,51,Satisfactory
2022-01-06,Kankeri,Kalahandi,34.190000000000005,78.65,12.61,5.8500000000000005,0.49400000000000005,11.959999999999999,17.5,50.5,94,Satisfactory
2022-01-06,Khankira,Dhenkanal,13.3,12.6,3.8,15.0,2.34,5.0,19.4,45.8,104,Moderate
2022-01-06,Khuntujhari,Dhenkanal,15.4,25.8,17.5,2.7,0.23,7.8,19.9,48.1,26,Good
2022-01-06,Mahabirod (K),Dhenkanal,20.7,55.2,4.3,1.7,0.43,19.8,16.1,51.6,55,Satisfactory
2022-01-06,Pangatira,Dhenkanal,14.8,20.4,35.5,1.0,0.82,24.6,15.3,47.1,44,Good
2022-01-06,Phalsapada,Kalahandi,25.869999999999997,43.550000000000004,27.430000000000003,7.279999999999999,0.312,17.16,24.2,63.5,52,Satisfactory
2022-01-06,Pharad,Kalahandi,36.660000000000004,55.77,10.66,3.25,0.559,6.5,24.7,49.5,66,Satisfactory
2022-01-06,Rasol,Dhenkanal,25.8,45.4,13.3,11.7,0.2,15.3,20.8,53.2,45,Good
2022-01-06,Tangi,Khordha,73.98,129.78,13.32,26.64,0.738,25.38,17.5,59.7,155,Moderate
2022-01-07,Bangurisingh,Dhenkanal,38.7,80.0,15.7,11.8,0.42,46.3,24.0,49.5,80,Satisfactory
2022-01-07,Berhampur,Ganjam,28.2,65.5,23.2,12.5,3.63,58.3,19.9,43.8,120,Moderate
2022-01-07,Biribolei,Dhenkanal,33.9,56.3,8.1,1.6,0.2,9.7,21.5,59.7,56,Satisfactory
2022-01-07,Gopinathpur,Kalahandi,36.79,74.36,7.0200000000000005,12.35,1.0270000000000001,11.959999999999999,23.6,62.8,89,Satisfactory
2022-01-07,Kankupa,Kalahandi,46.02,78.78,24.31,15.209999999999999,0.533,6.5,16.6,50.8,94,Satisfactory
2022-01-07,Karlamunda,Kalahandi,22.230000000000004,51.61000000000001,3.9000000000000004,14.43,0.26,29.380000000000003,20.4,43.4,61,Satisfactory
2022-01-07,Khandabandha,Dhenkanal,17.6,25.4,25.4,1.6,0.57,12.2,22.2,58.3,32,Good
2022-01-07,Laulai,Dhenkanal,29.5,72.4,2.0,1.6,0.2,36.4,19.0,63.9,72,Satisfactory
2022-01-07,Mathatentulia,Dhenkanal,8.0,14.1,5.5,5.4,0.36,22.8,22.7,40.2,23,Good
2022-01-07,Sarang,Dhenkanal,24.2,36.5,38.2,3.5,0.71,82.3,23.5,46.6,82,Satisfactory
2022-01-08,Analabereni,Dhenkanal,6.0,18.7,2.0,3.5,1.31,23.7,23.7,51.8,62,Satisfactory
2022-01-08,Balibo,Dhenkanal,37.1,56.4,10.4,6.2,1.9,12.5,23.5,58.4,95,Satisfactory
2022-01-08,Banasingh,Dhenkanal,10.7,10.0,17.7,2.4,0.23,5.0,20.2,62.4,22,Good
2022-01-08,Bhursha,Kalahandi,13.78,20.930000000000003,11.18,7.800000000000001,2.158,15.86,22.2,49.3,25,Good
2022-01-08,Chandpur,Dhenkanal,48.0,91.4,5.6,1.0,0.2,10.9,18.2,51.2,91,Satisfactory
2022-01-08,Damol,Dhenkanal,29.2,71.8,5.3,1.8,0.26,6.0,24.5,51.2,72,Satisfactory
2022-01-08,Dharanipatana,Dhenkanal,5.1,19.1,4.4,4.3,1.82,5.0,19.1,58.7,90,Satisfactory
2022-01-08,Digambarpur,Dhenkanal,33.7,53.3,10.1,2.5,0.23,35.6,15.7,43.8,56,Satisfactory
2022-01-08,Jenapur,Jajpur,9.76,16.0,40.160000000000004,13.12,0.32000000000000006,8.0,23.7,60.1,40,Good
2022-01-08,Kansara,Dhenkanal,32.5,88.2,10.9,10.9,0.36,9.1,19.5,45.3,88,Satisfactory
2022-01-08,Kantiokateni,Dhenkanal,24.1,53.1,19.5,3.8,0.2,10.0,24.6,59.4,53,Satisfactory
2022-01-08,Kantiokateni,Dhenkanal,31.2,46.4,4.0,1.7,0.98,7.5,15.9,47.3,51,Satisfactory
2022-01-08,Kantioputasahi,Dhenkanal,14.3,41.7,12.0,1.0,0.2,35.2,19.1,46.0,42,Good
2022-01-08,Kualo,Dhenkanal,14.2,18.2,37.2,1.0,0.77,13.1,25.0,43.9,46,Good
2022-01-08,Kuturia,Dhenkanal,16.9,41.9,19.2,1.0,0.2,44.6,23.2,58.9,45,Good
2022-01-08,Maland,Kalahandi,31.590000000000003,78.65,9.75,6.11,0.26,15.209999999999999,15.2,64.2,94,Satisfactory
2022-01-08,Mandinga,Kalahandi,6.5,14.690000000000001,35.62,9.49,0.7020000000000001,13.26,21.0,42.5,35,Good
2022-01-08,Sanda,Dhenkanal,22.0,49.2,14.0,3.6,0.66,8.3,18.7,52.8,49,Good
2022-01-08,Telkoi,Keonjhar,14.0,20.0,76.0,9.6,1.34,21.8,21.9,61.9,76,Satisfactory
2022-01-09,Berhampur,Ganjam,25.6,45.0,21.6,7.5,1.68,51.3,18.6,47.1,83,Satisfactory
2022-01-09,Boria,Kalahandi,6.5,24.05,10.790000000000001,1.4300000000000002,0.6890000000000001,12.090000000000002,24.3,49.2,28,Good
2022-01-09,Brundabahal,Kalahandi,19.240000000000002,31.200000000000003,2.9899999999999998,11.83,0.26,31.07,24.7,59.9,37,Good
2022-01-09,Dhenkanal,Dhenkanal,19.7,25.6,14.5,4.8,1.2,11.4,16.1,41.8,56,Satisfactory
2022-01-09,Ghatipiri,Dhenkanal,37.8,79.8,12.3,13.9,0.28,13.1,17.5,63.3,80,Satisfactory
2022-01-09,Junagarh,Kalahandi,39.0,73.58,9.879999999999999,6.89,1.482,18.98,17.4,42.1,88,Satisfactory
2022-01-09,Kotagara,Dhenkanal,25.3,24.3,6.6,5.3,0.22,5.0,22.5,52.6,42,Good
2022-01-09,Kottam,Dhenkanal,5.0,14.4,15.5,3.0,0.42,5.0,19.5,58.2,21,Good
2022-01-09,Laulai,Dhenkanal,13.6,39.6,15.3,1.0,0.25,11.1,23.7,43.9,40,Good
2022-01-09,Mahisapat,Dhenkanal,24.3,43.0,19.9,2.2,0.95,17.8,23.1,57.0,48,Good
2022-01-09,Mendhasala,Khordha,55.62,156.96,22.5,14.76,0.36000000000000004,53.82,25.0,40.7,188,Moderate
2022-01-09,Santhapur,Dhenkanal,33.7,75.2,37.7,1.2,0.35,18.3,20.4,59.0,75,Satisfactory
2022-01-09,Siminai,Dhenkanal,24.3,49.5,12.3,1.3,0.2,26.6,16.1,46.0,50,Good
2022-01-10,Ambapalasa,Dhenkanal,5.8,10.0,8.4,1.0,0.92,19.7,22.0,57.2,46,Good
2022-01-10,Anandapur,Keonjhar,43.8,65.0,48.4,2.0,0.4,33.2,17.6,57.1,78,Satisfactory
2022-01-10,Baldhimal,Kalahandi,27.169999999999998,43.03,11.959999999999999,6.370000000000001,0.7280000000000001,11.959999999999999,16.5,61.1,51,Satisfactory
2022-01-10,Balugaon,Khordha,81.36000000000001,165.24,18.0,11.16,0.36000000000000004,67.32,15.6,44.9,198,Moderate
2022-01-10,Basoi,Dhenkanal,12.4,34.4,2.0,9.1,0.98,19.5,18.8,45.0,49,Good
2022-01-10,Beltikiri,Dhenkanal,8.5,15.8,31.7,11.4,0.26,5.0,24.3,41.4,40,Good
2022-01-10,Berhampur,Ganjam,91.8,155.5,93.3,6.7,0.2,19.8,23.1,47.0,204,Poor
2022-01-10,Bhawanipatna,Kalahandi,141.44,331.11,11.700000000000001,33.410000000000004,0.9099999999999999,52.910000000000004,17.4,55.8,397,Very Poor
2022-01-10,Bhuban,Dhenkanal,12.1,17.4,35.9,1.4,2.14,5.0,22.5,61.7,102,Moderate
2022-01-10,Boden,Kalahandi,21.19,38.09,4.9399999999999995,4.29,1.1440000000000001,16.25,15.7,43.7,45,Good
2022-01-10,Chapria,Kalahandi,37.96,103.47999999999999,5.720000000000001,12.61,0.26,22.1,22.2,56.4,124,Moderate
2022-01-10,Dhanrabhata,Kalahandi,16.509999999999998,14.950000000000001,11.700000000000001,5.59,0.26,57.72,22.6,45.9,46,Good
2022-01-10,Dhirapatna,Dhenkanal,6.8,10.0,14.7,13.5,0.2,15.5,22.0,60.7,18,Good
2022-01-10,Kaimati,Dhenkanal,28.3,37.0,22.7,7.9,0.95,5.0,22.9,42.5,48,Good
2022-01-10,Kalda,Dhenkanal,5.0,10.0,2.6,13.1,0.2,5.0,22.6,59.2,16,Good
2022-01-10,Kusumkhunti,Kalahandi,19.89,49.92,5.460000000000001,9.1,0.325,32.63,19.4,52.7,59,Satisfactory
2022-01-10,Ladugaon,Kalahandi,10.270000000000001,13.0,3.3800000000000003,1.3,1.0010000000000001,6.5,17.8,46.2,20,Good
2022-01-10,Panikoili,Jajpur,48.0,138.08,13.12,4.16,3.12,39.52,17.1,48.8,165,Moderate
2022-01-10,Sanchergaon,Kalahandi,40.04,69.55,22.1,7.93,0.26,18.2,18.8,62.1,83,Satisfactory
2022-01-10,Siletpada,Kalahandi,25.480000000000004,41.730000000000004,10.270000000000001,8.58,0.26,42.9,23.9,45.3,50,Good
2022-01-10,Thuamul Rampur,Kalahandi,14.690000000000001,22.880000000000003,25.740000000000002,2.21,0.9750000000000001,26.650000000000002,18.5,40.1,27,Good
2022-01-10,Tulapada,Kalahandi,23.01,21.32,14.3,7.670000000000001,0.26,6.5,17.7,51.5,34,Good
2022-01-11,Ampani,Kalahandi,32.76,56.68000000000001,6.370000000000001,7.15,0.44200000000000006,23.01,16.7,56.1,68,Satisfactory
2022-01-11,Badasuanlo,Dhenkanal,21.2,42.7,6.6,1.0,0.22,8.6,24.2,42.2,43,Good
2022-01-11,Bangurisingh,Dhenkanal,23.8,42.4,20.4,4.0,0.32,5.0,19.3,51.1,42,Good
2022-01-11,Biswanathpur,Kalahandi,47.32,75.27,73.06,9.75,0.9750000000000001,14.3,24.5,46.2,90,Satisfactory
2022-01-11,Dighi,Dhenkanal,38.1,100.8,2.0,4.4,0.3,15.5,22.4,60.2,121,Moderate
2022-01-11,Gajabahapda,Kalahandi,15.209999999999999,50.7,9.49,1.8199999999999998,0.481,7.54,20.9,52.8,60,Satisfactory
2022-01-11,Kumusi,Dhenkanal,30.4,59.9,2.0,12.5,2.38,20.0,23.3,63.6,105,Moderate
2022-01-11,Mahichala,Kalahandi,10.4,30.81,28.990000000000002,6.24,0.26,10.4,17.9,53.1,36,Good
2022-01-11,Maland,Kalahandi,33.93,85.8,13.26,7.800000000000001,0.49400000000000005,6.5,19.2,47.4,102,Moderate
2022-01-11,Mandar,Dhenkanal,9.8,10.0,5.1,5.1,0.2,8.4,18.4,41.2,16,Good
2022-01-12,Arebeda,Kalahandi,35.1,83.85000000000001,2.6,2.4699999999999998,0.338,6.5,19.2,54.2,100,Satisfactory
2022-01-12,Bhapur,Dhenkanal,39.8,67.8,2.0,1.0,0.54,12.8,21.0,59.2,68,Satisfactory
2022-01-12,Dharmagarh,Kalahandi,14.690000000000001,13.0,58.5,3.6399999999999997,1.612,17.55,24.2,50.2,58,Satisfactory
2022-01-12,Kamalanga,Dhenkanal,12.4,10.0,4.9,1.2,1.04,20.3,20.8,55.0,21,Good
2022-01-12,Kankeri,Kalahandi,43.160000000000004,131.95000000000002,2.6,3.12,0.41600000000000004,6.5,20.0,45.0,158,Moderate
2022-01-12,Kantiokateni,Dhenkanal,19.7,38.0,4.6,2.6,0.3,11.4,24.4,46.5,38,Good
2022-01-12,Koksara,Kalahandi,22.75,75.14,18.85,15.08,1.651,18.46,15.5,40.4,90,Satisfactory
2022-01-12,Kusupunga,Dhenkanal,18.2,25.9,7.9,5.0,0.74,17.9,16.7,58.7,37,Good
2022-01-12,Kuturia,Dhenkanal,6.2,10.0,3.3,1.3,1.08,11.3,18.6,60.0,11,Good
2022-01-12,Mandar,Dhenkanal,17.6,40.0,19.1,2.5,0.54,16.0,22.2,52.7,40,Good
2022-01-12,Nimidha,Dhenkanal,12.3,10.0,3.9,2.3,0.29,15.6,20.8,53.5,21,Good
2022-01-12,Raitala,Dhenkanal,7.4,24.0,17.0,4.5,0.57,5.0,18.6,48.9,28,Good
2022-01-12,Rasulpur,Jajpur,12.48,26.72,22.72,8.48,0.32000000000000006,23.680000000000003,23.2,63.9,32,Good
2022-01-12,Siletpada,Kalahandi,10.270000000000001,20.67,2.6,1.3,0.663,16.12,18.7,44.4,24,Good
2022-01-12,Siletpada,Kalahandi,28.340000000000003,21.32,10.14,1.3,0.46799999999999997,15.209999999999999,15.0,51.7,42,Good
2022-01-12,Sindhipadar,Kalahandi,14.82,18.2,5.59,7.15,0.26,26.130000000000003,18.5,45.6,22,Good
2022-01-12,Talampadar,Kalahandi,11.57,13.0,3.77,4.8100000000000005,0.49400000000000005,20.02,15.5,56.9,20,Good
2022-01-12,Urladani,Kalahandi,9.23,13.0,15.990000000000002,6.11,0.26,8.450000000000001,22.7,53.0,20,Good
2022-01-13,Baldhimal,Kalahandi,15.600000000000001,13.0,14.3,6.24,0.507,8.19,22.0,41.5,23,Good
2022-01-13,Bhimkela,Kalahandi,38.87,78.65,3.5100000000000002,16.64,0.741,7.54,21.0,50.5,94,Satisfactory
2022-01-13,Bhusal,Dhenkanal,10.1,13.4,22.9,5.0,0.2,30.4,19.5,50.3,30,Good
2022-01-13,Bhusal,Dhenkanal,5.0,10.0,8.6,4.3,0.55,18.4,24.7,55.4,28,Good
2022-01-13,Kantioputasahi,Dhenkanal,5.0,10.0,8.4,6.1,0.27,5.9,21.4,53.6,14,Good
2022-01-13,Kantioputasahi,Dhenkanal,22.0,38.1,11.1,4.6,0.46,6.7,20.5,58.2,38,Good
2022-01-13,Khandabandha,Dhenkanal,24.3,25.8,11.0,14.4,0.45,5.0,17.7,53.8,40,Good
2022-01-13,Khasiguda,Kalahandi,11.309999999999999,15.86,16.64,5.07,0.403,23.01,15.3,45.6,20,Good
2022-01-13,Kusumjodi,Dhenkanal,5.0,10.0,14.7,1.2,0.59,5.0,22.4,43.7,30,Good
2022-01-13,Mathakaragola,Dhenkanal,39.2,88.0,7.7,5.9,0.8,46.2,20.2,43.1,88,Satisfactory
2022-01-13,Meramundali,Dhenkanal,85.8,146.9,13.8,9.2,2.65,5.0,24.7,57.8,186,Moderate
2022-01-13,Mrudanga,Dhenkanal,14.7,33.6,5.3,2.5,0.45,5.0,21.1,47.5,34,Good
2022-01-13,Narla,Kalahandi,48.88,47.839999999999996,48.489999999999995,7.93,1.248,13.26,24.4,50.9,73,Satisfactory
2022-01-13,Patharakhamba,Dhenkanal,15.5,24.6,13.4,8.9,0.47,15.1,20.2,60.7,26,Good
2022-01-14,Baunsa Pokhari,Dhenkanal,5.0,10.6,8.4,4.8,0.24,5.0,19.8,64.3,12,Good
2022-01-14,Belkhandi,Kalahandi,12.35,18.07,13.13,4.680000000000001,0.338,31.85,22.5,45.6,25,Good
2022-01-14,Berhampur,Ganjam,23.9,36.8,41.1,13.4,0.2,61.5,24.7,56.7,62,Satisfactory
2022-01-14,Junagarh,Kalahandi,34.97,81.12,14.43,13.13,0.29900000000000004,29.119999999999997,24.2,48.6,97,Satisfactory
2022-01-14,Kualo,Dhenkanal,31.8,53.3,13.0,3.9,0.4,14.2,23.7,64.4,53,Satisfactory
2022-01-14,Mundeilo,Dhenkanal,31.6,33.1,21.8,7.0,0.81,9.3,20.9,58.3,52,Satisfactory
2022-01-14,Santpur,Kalahandi,22.619999999999997,13.0,8.58,1.3,0.611,21.97,24.9,61.4,33,Good
2022-01-14,Sogar,Dhenkanal,13.4,37.2,5.4,1.0,0.53,5.4,23.2,48.1,37,Good
2022-01-14,Vyasanagar,Jajpur,75.67999999999999,113.28,7.5200000000000005,11.840000000000002,2.672,27.52,20.1,59.8,135,Moderate
2022-01-15,Basoi,Dhenkanal,17.3,21.9,3.2,4.3,0.22,5.0,24.1,59.9,29,Good
2022-01-15,Chancher,Kalahandi,34.190000000000005,86.97000000000001,5.2,4.03,0.533,17.94,17.7,56.3,104,Moderate
2022-01-15,Chilpa,Kalahandi,9.23,21.580000000000002,23.66,1.3,1.0010000000000001,12.090000000000002,24.0,58.9,25,Good
2022-01-15,Darpan,Jajpur,23.840000000000003,29.6,9.76,5.44,1.6480000000000001,8.0,19.2,47.2,35,Good
2022-01-15,Dasamanapatana,Dhenkanal,5.0,10.0,21.5,4.7,0.61,5.0,17.7,56.1,30,Good
2022-01-15,Koksara,Kalahandi,52.52,111.41000000000001,30.290000000000003,5.9799999999999995,0.26,17.55,17.9,64.5,133,Moderate
2022-01-15,Kusumkhunti,Kalahandi,23.790000000000003,30.94,19.5,3.9000000000000004,0.8969999999999999,20.67,22.1,61.7,37,Good
2022-01-15,Nuabag,Dhenkanal,9.8,45.9,5.8,1.0,0.53,5.0,25.0,56.0,46,Good
2022-01-15,Pingua,Dhenkanal,20.1,46.6,11.2,1.0,0.21,31.1,15.2,63.5,47,Good
2022-01-15,Sadashibpur,Dhenkanal,14.9,37.1,2.0,1.0,0.2,14.9,18.1,50.8,37,Good
2022-01-16,Biribolei,Dhenkanal,31.9,85.3,2.8,2.2,0.81,8.6,17.6,51.6,85,Satisfactory
2022-01-16,Dayanabili,Dhenkanal,19.6,29.6,13.4,9.9,0.2,13.3,17.0,43.5,33,Good
2022-01-16,Gondia,Dhenkanal,37.8,52.0,53.1,38.4,0.33,23.0,20.7,61.1,66,Satisfactory
2022-01-16,Gudialipadar,Kalahandi,24.830000000000002,41.21,8.450000000000001,8.71,0.637,18.85,18.7,60.0,49,Good
2022-01-16,Jhumpura,Keonjhar,64.6,111.8,12.2,4.2,0.82,13.6,23.6,56.2,134,Moderate
2022-01-16,Kamalanga,Dhenkanal,5.0,37.5,3.9,8.0,0.2,13.9,23.6,57.8,38,Good
2022-01-16,Kankil,Dhenkanal,6.3,10.0,6.7,1.8,0.42,5.9,16.3,51.8,21,Good
2022-01-16,Kansara,Dhenkanal,36.4,74.5,7.5,2.2,0.2,6.6,22.0,49.6,74,Satisfactory
2022-01-16,Madanpur,Kalahandi,6.5,18.720000000000002,8.450000000000001,4.42,0.26,11.18,21.7,64.0,22,Good
2022-01-16,Mohangiri,Kalahandi,22.880000000000003,52.910000000000004,17.42,1.3,0.325,11.959999999999999,21.7,63.4,63,Satisfactory
2022-01-16,Phalsapada,Kalahandi,20.67,63.96000000000001,7.54,2.4699999999999998,0.26,15.73,20.9,58.0,76,Satisfactory
2022-01-16,Saruali,Dhenkanal,15.2,23.3,7.1,1.0,0.21,7.7,23.7,40.9,25,Good
2022-01-17,Analabereni,Dhenkanal,7.8,21.1,18.3,4.2,0.85,22.8,24.4,51.6,42,Good
2022-01-17,Balibo,Dhenkanal,24.0,61.3,9.5,3.2,0.2,21.8,22.8,64.4,61,Satisfactory
2022-01-17,Belkhandi,Kalahandi,6.5,13.0,26.78,10.4,1.222,14.82,24.4,59.2,26,Good
2022-01-17,Bido,Dhenkanal,10.0,27.4,20.4,12.5,0.24,24.9,17.7,59.6,27,Good
2022-01-17,Birasal,Dhenkanal,24.6,25.9,2.0,2.2,0.22,20.5,22.6,45.3,41,Good
2022-01-17,Birasal,Dhenkanal,21.1,59.5,3.9,2.5,1.24,14.1,17.3,62.9,60,Satisfactory
2022-01-17,Chaulia,Dhenkanal,6.1,10.0,14.3,8.2,1.45,10.5,15.6,48.8,70,Satisfactory
2022-01-17,Digambarpur,Dhenkanal,26.3,25.1,4.9,3.4,0.94,23.5,17.1,51.2,47,Good
2022-01-17,Gondia,Dhenkanal,22.2,27.1,46.7,3.9,0.6,28.9,16.5,60.3,58,Satisfactory
